Country,ISO_Name,ISO_Alpha,ISO_Code,Confederation,World Rank,Attack,Defense,Stochastic_Attributes,P,GF,GA,CS,WC_P,WC_GF,WC_GA,WC_CS,GS,RO16,QF,SF,F,Wins
Japan,Japan,JPN,392,AFC,18,1.2,1.15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran,Iran (Islamic Republic of),IRN,364,AFC,20,1.15,1.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea,Korea (the Republic of),KOR,410,AFC,22,1.15,1.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Australia,AUS,36,AFC,23,0.95,0.9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,Qatar,QAT,634,AFC,37,0.9,0.9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,Saudi Arabia,SAU,682,AFC,53,0.95,0.95,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq,Iraq,IRQ,368,AFC,59,0.85,0.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,Uzbekistan,UZB,860,AFC,66,0.75,0.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAE,United Arab Emirates (the),ARE,784,AFC,69,0.8,0.8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,Jersey,JEY,832,AFC,70,0.65,0.65,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,Oman,OMN,512,AFC,80,0.7,0.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,Bahrain,BHR,48,AFC,82,0.55,0.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,China,CHN,156,AFC,88,0.7,0.7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syria,Syrian Arab Republic (the),SYR,760,AFC,89,0.75,0.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,Tajikistan,TJK,762,AFC,99,0.48,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,Thailand,THA,764,AFC,101,0.65,0.55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,Kyrgyzstan,KGZ,417,AFC,104,0.45,0.55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,Viet Nam,VNM,704,AFC,105,0.6,0.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea,Korea (the Democratic People's Republic of),PRK,408,AFC,114,0.57,0.55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,Lebanon,LBN,422,AFC,115,0.7,0.65,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,India,IND,356,AFC,117,0.6,0.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,Malaysia,MYS,458,AFC,132,0.55,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,Kuwait,KWT,414,AFC,137,0.5,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,Philippines (the),PHL,608,AFC,139,0.52,0.55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Turkmenistan,TKM,795,AFC,141,0.48,0.48,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Indonesia,IDN,360,AFC,142,0.45,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,Yemen,YEM,887,AFC,151,0.6,0.55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taipei,Taiwan (Province of China),TWN,158,AFC,153,0.45,0.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,Hong Kong,HKG,344,AFC,154,0.4,0.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,Singapore,SGP,702,AFC,156,0.4,0.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,Afghanistan,AFG,4,AFC,158,0.5,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives,Maldives,MDV,462,AFC,161,0.4,0.35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar,Myanmar,MMR,104,AFC,162,0.48,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,Nepal,NPL,524,AFC,175,0.4,0.42,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,Cambodia,KHM,116,AFC,179,0.39,0.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,Bangladesh,BGD,50,AFC,183,0.3,0.35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,Bhutan,BTN,64,AFC,184,0.3,0.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macau,Macao,MAC,446,AFC,187,0.32,0.32,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laos,Lao People's Democratic Republic (the),LAO,418,AFC,189,0.3,0.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,Mongolia,MNG,496,AFC,190,0.3,0.27,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,Brunei Darussalam,BRN,96,AFC,194,0.27,0.25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,Pakistan,PAK,586,AFC,195,0.22,0.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste,Timor-Leste,TLS,626,AFC,200,0.22,0.22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,Sri Lanka,LKA,144,AFC,204,0.2,0.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,Guam,GUM,316,AFC,205,0.21,0.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,Morocco,MAR,504,CAF,12,1.1,1.25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,Senegal,SEN,686,CAF,17,1.3,1.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,Nigeria,NGA,566,CAF,28,1.25,1.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,Egypt,EGY,818,CAF,36,1.2,1.15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ivory Coast,Côte d'Ivoire,CIV,384,CAF,39,1.2,1.05,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,Tunisia,TUN,788,CAF,41,1.05,1.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Algeria,DZA,12,CAF,43,1.2,1.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Mali,MLI,466,CAF,47,1.1,1.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Cameroon,CMR,120,CAF,51,1.15,1.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,South Africa,ZAF,710,CAF,58,0.9,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,Burkina Faso,BFA,854,CAF,61,1.05,0.95,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo DR,Congo (the),COD,180,CAF,63,0.95,1.05,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Cabo Verde,CPV,132,CAF,65,0.8,0.9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,Ghana,GHA,288,CAF,67,1.1,1.05,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,Guinea,GIN,324,CAF,76,0.85,0.8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,Equatorial Guinea,GNQ,226,CAF,79,0.57,0.67,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,Gabon,GAB,266,CAF,84,0.85,0.67,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,Zambia,ZMB,894,CAF,87,0.75,0.82,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,Uganda,UGA,800,CAF,92,0.8,0.8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Angola,AGO,24,CAF,93,0.7,0.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Benin,BEN,204,CAF,98,0.8,0.8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Mauritania,MRT,478,CAF,106,0.7,0.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,Namibia,NAM,516,CAF,107,0.69,0.72,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,Madagascar,MDG,450,CAF,109,0.7,0.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,Mozambique,MOZ,508,CAF,110,0.7,0.78,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,Kazakhstan,KAZ,398,CAF,111,0.75,0.76,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,Congo (the Democratic Republic of the),COG,178,CAF,112,0.8,0.8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,Togo,TGO,768,CAF,116,0.72,0.58,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,Guinea-Bissau,GNB,624,CAF,118,0.65,0.67,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,"Tanzania, the United Republic of",TZA,834,CAF,119,0.55,0.55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,Libya,LBY,434,CAF,120,0.75,0.73,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Comoros (the),COM,174,CAF,121,0.6,0.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,Malawi,MWI,454,CAF,122,0.63,0.65,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,Zimbabwe,ZWE,716,CAF,124,0.7,0.74,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,Sierra Leone,SLE,694,CAF,126,0.77,0.73,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Sudan (the),SDN,729,CAF,127,0.6,0.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,Niger (the),NER,562,CAF,128,0.7,0.67,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Central African Republic (the),CAF,140,CAF,129,0.7,0.77,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia,Gambia (the),GMB,270,CAF,130,0.55,0.45,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,Sao Tome and Principe,STP,678,CAF,131,0.33,0.32,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,Rwanda,RWA,646,CAF,133,0.62,0.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,Burundi,BDI,108,CAF,140,0.57,0.58,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,Ethiopia,ETH,231,CAF,145,0.52,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Botswana,BWA,72,CAF,146,0.5,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho,Lesotho,LSO,426,CAF,148,0.53,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eswatini,Eswatini,SWZ,748,CAF,149,0.47,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,Liberia,LBR,430,CAF,152,0.64,0.57,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Sudan,South Sudan,SSD,728,CAF,166,0.4,0.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,Mauritius,MUS,480,CAF,177,0.45,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Chad,TCD,148,CAF,181,0.42,0.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,Djibouti,DJI,262,CAF,192,0.37,0.37,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,Somalia,SOM,706,CAF,198,0.3,0.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Seychelles,SYC,690,CAF,199,0.29,0.29,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,Eritrea,ERI,232,CAF,999,0.27,0.28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,United States of America (the),USA,840,CONCACAF,13,1.15,1.05,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,Mexico,MEX,484,CONCACAF,15,1.35,1.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,Panama,PAN,591,CONCACAF,44,0.7,0.7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,Canada,CAN,124,CONCACAF,50,0.95,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,Costa Rica,CRI,188,CONCACAF,54,0.8,0.8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,Jamaica,JAM,388,CONCACAF,57,0.85,0.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,Honduras,HND,340,CONCACAF,78,0.7,0.65,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,El Salvador,SLV,222,CONCACAF,81,0.6,0.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,Haiti,HTI,332,CONCACAF,90,0.68,0.68,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curacao,Curaçao,CUW,531,CONCACAF,91,0.7,0.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,Trinidad and Tobago,TTO,780,CONCACAF,96,0.65,0.65,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,Guatemala,GTM,320,CONCACAF,108,0.43,0.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,Nicaragua,NIC,558,CONCACAF,134,0.4,0.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,Antigua and Barbuda,ATG,28,CONCACAF,142,0.45,0.45,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,Suriname,SUR,740,CONCACAF,144,0.45,0.42,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Kitts and Nevis,Saint Kitts and Nevis,KNA,659,CONCACAF,147,0.35,0.32,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,Dominican Republic (the),DOM,214,CONCACAF,150,0.4,0.35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,Guyana,GUY,328,CONCACAF,157,0.3,0.35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico,Puerto Rico,PRI,630,CONCACAF,160,0.27,0.27,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Lucia,Saint Lucia,LCA,662,CONCACAF,167,0.22,0.23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,Cuba,CUB,192,CONCACAF,169,0.5,0.55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,Bermuda,BMU,60,CONCACAF,171,0.3,0.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Vincent and the Grenadines,Saint Vincent and the Grenadines,VCT,670,CONCACAF,173,0.25,0.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,Grenada,GRD,308,CONCACAF,174,0.3,0.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat,Montserrat,MSR,500,CONCACAF,176,0.2,0.18,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,Barbados,BRB,52,CONCACAF,178,0.35,0.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,Dominica,DMA,212,CONCACAF,180,0.2,0.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,Belize,BLZ,84,CONCACAF,182,0.35,0.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,Aruba,ABW,533,CONCACAF,193,0.14,0.16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands,Cayman Islands (the),CYM,136,CONCACAF,197,0.12,0.14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas,Bahamas (the),BHS,44,CONCACAF,202,0.25,0.15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,Turks and Caicos Islands (the),TCA,796,CONCACAF,206,0.15,0.14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands,Virgin Islands (British),VGB,92,CONCACAF,207,0.12,0.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US Virgin Islands,Virgin Islands (U.S.),VIR,850,CONCACAF,208,0.13,0.13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla,Anguilla,AIA,660,CONCACAF,209,0.15,0.12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,Argentina,ARG,32,CONMEBOL,1,1.7,1.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,Brazil,BRA,76,CONMEBOL,5,1.85,1.7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,Uruguay,URY,858,CONMEBOL,11,1.55,1.7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,Colombia,COL,170,CONMEBOL,14,1.4,1.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,Ecuador,ECU,218,CONMEBOL,31,1.1,1.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,Peru,PER,604,CONMEBOL,33,1.2,1.15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,Chile,CHL,152,CONMEBOL,42,1.2,1.25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,Venezuela (Bolivarian Republic of),VEN,862,CONMEBOL,52,1.15,1.15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,Paraguay,PRY,600,CONMEBOL,56,1.1,1.05,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,Bolivia (Plurinational State of),BOL,68,CONMEBOL,86,0.8,0.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,New Zealand,NZL,554,OFC,103,0.65,0.65,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,Solomon Islands,SLB,90,OFC,131,0.45,0.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,New Caledonia,NCL,540,OFC,159,0.24,0.23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tahiti,,,,OFC,163,0.23,0.22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,Papua New Guinea,PNG,598,OFC,165,0.2,0.19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,Fiji,FJI,242,OFC,168,0.22,0.21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,Vanuatu,VUT,548,OFC,170,0.21,0.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands,Cook Islands (the),COK,184,OFC,185,0.11,0.13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,Samoa,WSM,882,OFC,186,0.13,0.15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,American Samoa,ASM,16,OFC,188,0.14,0.16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga,Tonga,TON,776,OFC,196,0.12,0.14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,France,FRA,250,UEFA,2,1.9,1.85,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,,,,UEFA,3,1.55,1.7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,Belgium,BEL,56,UEFA,4,1.75,1.65,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,Netherlands (the),NLD,528,UEFA,6,1.6,1.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,Portugal,PRT,620,UEFA,7,1.6,1.7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Spain,ESP,724,UEFA,8,1.85,1.7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,Italy,ITA,380,UEFA,9,1.45,1.65,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,Croatia,HRV,191,UEFA,10,1.65,1.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,Germany,DEU,276,UEFA,16,1.7,1.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,Switzerland,CHE,756,UEFA,19,1.2,1.25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,Denmark,DNK,208,UEFA,21,1.3,1.35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Ukraine,UKR,804,UEFA,24,1.05,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Austria,AUT,40,UEFA,25,1.25,1.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,Sweden,SWE,752,UEFA,26,1.15,1.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,Hungary,HUN,348,UEFA,27,0.9,0.85,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,,,,UEFA,29,1.15,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,Poland,POL,616,UEFA,30,1.4,1.05,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Serbia,SRB,688,UEFA,32,1.3,1.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,,,,UEFA,34,0.85,0.9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,Turkey,TUR,792,UEFA,35,1.2,1.25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,Czechia,CZE,203,UEFA,40,1.05,0.95,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,Romania,ROU,642,UEFA,45,1,0.95,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,Norway,NOR,578,UEFA,46,1.25,1.05,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,Slovakia,SVK,703,UEFA,48,1,1.05,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,Greece,GRC,300,UEFA,49,0.95,0.9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,Slovenia,SVN,705,UEFA,55,0.8,0.95,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,Finland,FIN,246,UEFA,60,0.75,0.9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Republic of Ireland,Ireland,IRL,372,UEFA,62,0.85,1.05,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,Albania,ALB,8,UEFA,64,0.73,0.72,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,North Macedonia,MKD,807,UEFA,68,0.75,0.73,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,70,UEFA,71,0.95,0.85,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,Montenegro,MNE,499,UEFA,72,0.8,0.8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,Iceland,ISL,352,UEFA,73,0.75,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,,,,UEFA,74,0.85,0.95,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,Israel,ISR,376,UEFA,75,0.77,0.79,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,Georgia,GEO,268,UEFA,77,0.65,0.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,Bulgaria,BGR,100,UEFA,83,0.75,0.74,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,Luxembourg,LUX,442,UEFA,85,0.6,0.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,Armenia,ARM,51,UEFA,94,0.62,0.55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,Belarus,BLR,112,UEFA,95,0.75,0.73,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,Jordan,JOR,400,UEFA,100,0.6,0.55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,Kenya,KEN,404,UEFA,102,0.77,0.63,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,Azerbaijan,AZE,31,UEFA,113,0.48,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,Estonia,EST,233,UEFA,123,0.43,0.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Cyprus,CYP,196,UEFA,125,0.55,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,Faroe Islands (the),FRO,234,UEFA,135,0.45,0.47,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,Latvia,LVA,428,UEFA,136,0.47,0.47,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,Lithuania,LTU,440,UEFA,138,0.45,0.55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,Moldova (the Republic of),MDA,498,UEFA,155,0.32,0.32,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,Andorra,AND,20,UEFA,164,0.35,0.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,Malta,MLT,470,UEFA,172,0.37,0.37,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar,Gibraltar,GIB,292,UEFA,201,0.3,0.32,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein,Liechtenstein,LIE,438,UEFA,203,0.26,0.24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino,,,,UEFA,210,0.22,0.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
